EMPLOYER_NAME,target,value,source,pay
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,135000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,135000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,150000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,160000
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,178413
"Amazon CENTER, INC.",Amazon,1,SAN FRANCISCO COUNTY,158000
"Amazon CENTER, INC. D/B/A LAB 126",Amazon,5,SANTA CLARA COUNTY,132200
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,109762
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,131269
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,77563
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,110157
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,132038
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,110157
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,148928
ADOBE SYSTEMS INCORPORATED,Adobe,100,SANTA CLARA COUNTY,115253
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,104598.5
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,106470.5
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,113199
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,127176.5
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,141269
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,141269
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,141269
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,143099.5
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,193788.5
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,131269
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,96138
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,116272
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,108597
ADOBE SYSTEMS INCORPORATED,Adobe,25,SANTA CLARA COUNTY,85987
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,131456
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,100000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,130000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,130055
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,130000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,125000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,125000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,145000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,122505
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,152776
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,148694
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,104000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,134873
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,116774
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,108000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,115000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,142040
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,140000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,90000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,132000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,145000
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,137500
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,150675
ADOBE SYSTEMS INCORPORATED,Adobe,1,SANTA CLARA COUNTY,110000
